"Name","Abundance in Blood (uM)","Melting Point (°C)","Boiling Point (°C)","Solubility (mg/mL)","LogP","Monoisotopic Molecular Weight (Da)"
"PC(P-18:1(11Z)/20:3(8Z,11Z,14Z))","90.4 (78.8-104)","N/A","N/A","3.440E-05 g/L","6.34","793.598540559"
"PC(P-18:1(11Z)/20:4(5Z,8Z,11Z,14Z))","21.8 (18.8-25.2)","N/A","N/A","3.690E-05 g/L","6.31","791.582890495"
"PC(P-18:1(11Z)/20:4(8Z,11Z,14Z,17Z))","21.8 (18.8-25.2)","N/A","N/A","3.730E-05 g/L","6.27","791.582890495"
"PC(P-18:1(11Z)/20:5(5Z,8Z,11Z,14Z,17Z))","60.6 (50.1-72.9 )","N/A","N/A","3.950E-05 g/L","6.10","789.567240431"
"PC(P-18:1(11Z)/22:0)","0.35 (0.3-0.42)","N/A","N/A","2.060E-05 g/L","6.74","827.676790879"
"PC(P-18:1(11Z)/22:1(13Z))","0.25 (0.2-0.37)","N/A","N/A","2.490E-05 g/L","6.73","825.661140815"
"PC(P-18:1(11Z)/22:2(13Z,16Z))","0.54 (0.46-0.64)","N/A","N/A","2.790E-05 g/L","6.65","823.645490751"
"PC(P-18:1(11Z)/22:4(7Z,10Z,13Z,16Z))","13.85(4.15)","N/A","N/A","3.650E-05 g/L","6.61","819.614190623"
"PC(P-18:1(11Z)/22:5(4Z,7Z,10Z,13Z,16Z))","27.8 +/- 8.8","N/A","N/A","3.840E-05 g/L","6.50","817.598540559"
"PC(P-18:1(11Z)/22:5(7Z,10Z,13Z,16Z,19Z))","27.8 +/- 8.8","N/A","N/A","3.880E-05 g/L","6.42","817.598540559"
"PC(P-18:1(11Z)/24:0)","0.32 +/- 0.08","N/A","N/A","1.860E-05 g/L","6.96","855.708091007"
"PC(P-18:1(11Z)/24:1(15Z))","0.19 (0.16-0.25)","N/A","N/A","2.320E-05 g/L","6.98","853.692440943"
"PC(P-18:1(11Z)/P-16:0)","242.2 +/- 51.3","N/A","N/A","N/A","6.33","727.587976362"
"PC(P-18:1(11Z)/P-18:0)","19.8 (16.9-22.8)","N/A","N/A","N/A","6.64","755.619276491"
"PC(P-18:1(11Z)/P-18:1(11Z))","44.5 (37.6-53.3)","N/A","N/A","N/A","6.56","753.603626427"
"PC(P-18:1(11Z)/P-18:1(9Z))","44.5 (37.6-53.3)","N/A","N/A","N/A","6.56","753.603626427"
"PC(P-18:1(9Z)/14:0)","16.6 +/- 7.90","N/A","N/A","2.770E-05 g/L","5.62","715.551590367"
"PC(P-18:1(9Z)/14:1(9Z))","4.02 +/- 1.47","N/A","N/A","3.040E-05 g/L","5.50","713.535940303"
"PC(P-18:1(9Z)/16:0)","242.2 +/- 51.3","N/A","N/A","2.360E-05 g/L","5.96","743.582890495"
"PC(P-18:1(9Z)/16:1(9Z))","413.3 +/- 69.2","N/A","N/A","2.650E-05 g/L","5.84","741.567240431"
"PC(P-18:1(9Z)/18:0)","19.8 (16.9-22.8)","N/A","N/A","2.510E-05 g/L","6.24","771.614190623"
"PC(P-18:1(9Z)/18:1(11Z))","44.5 (37.6-53.3)","N/A","N/A","2.340E-05 g/L","6.15","769.598540559"
"PC(P-18:1(9Z)/18:1(9Z))","44.5 (37.6-53.3)","N/A","N/A","2.350E-05 g/L","6.15","769.598540559"
"PC(P-18:1(9Z)/18:2(9Z,12Z))","63.7 (53.6-73.5)","N/A","N/A","3.100E-05 g/L","6.11","767.582890495"
"PC(P-18:1(9Z)/18:3(6Z,9Z,12Z))","135 (118-151)","N/A","N/A","3.450E-05 g/L","6.05","765.567240431"
"PC(P-18:1(9Z)/18:3(9Z,12Z,15Z))","135 (118-151)","N/A","N/A","3.460E-05 g/L","6.03","765.567240431"
"PC(P-18:1(9Z)/18:4(6Z,9Z,12Z,15Z))","5.2 (4.18-6.71)","N/A","N/A","4.030E-05 g/L","5.93","763.551590367"
"PC(P-18:1(9Z)/20:0)","1.23 +/- 0.46","N/A","N/A","2.110E-05 g/L","6.51","799.645490751"
"PC(P-18:1(9Z)/20:2(11Z,14Z))","47.3 +/- 11.3","N/A","N/A","2.690E-05 g/L","6.40","795.614190623"
"PC(P-18:1(9Z)/20:3(5Z,8Z,11Z))","90.4 (78.8-104)","N/A","N/A","3.170E-05 g/L","6.40","793.598540559"
"PC(P-18:1(9Z)/20:3(8Z,11Z,14Z))","90.4 (78.8-104)","N/A","N/A","3.200E-05 g/L","6.35","793.598540559"
"PC(P-18:1(9Z)/20:4(5Z,8Z,11Z,14Z))","21.8 (18.8-25.2)","N/A","N/A","3.670E-05 g/L","6.31","791.582890495"
"PC(P-18:1(9Z)/20:4(8Z,11Z,14Z,17Z))","21.8 (18.8-25.2)","N/A","N/A","3.710E-05 g/L","6.28","791.582890495"
"PC(P-18:1(9Z)/20:5(5Z,8Z,11Z,14Z,17Z))","60.6 (50.1-72.9 )","N/A","N/A","3.960E-05 g/L","6.11","789.567240431"
"PC(P-18:1(9Z)/22:0)","0.35 (0.3-0.42)","N/A","N/A","2.060E-05 g/L","6.74","827.676790879"
"PC(P-18:1(9Z)/22:1(13Z))","0.25 (0.2-0.37)","N/A","N/A","2.480E-05 g/L","6.74","825.661140815"
"PC(P-18:1(9Z)/22:2(13Z,16Z))","0.54 (0.46-0.64)","N/A","N/A","2.790E-05 g/L","6.65","823.645490751"
"PC(P-18:1(9Z)/22:4(7Z,10Z,13Z,16Z))","13.85(4.15)","N/A","N/A","3.630E-05 g/L","6.62","819.614190623"
"PC(P-18:1(9Z)/22:5(4Z,7Z,10Z,13Z,16Z))","27.8 +/- 8.8","N/A","N/A","3.840E-05 g/L","6.50","817.598540559"
"PC(P-18:1(9Z)/22:5(7Z,10Z,13Z,16Z,19Z))","27.8 +/- 8.8","N/A","N/A","3.880E-05 g/L","6.42","817.598540559"
"PC(P-18:1(9Z)/24:0)","0.32 +/- 0.08","N/A","N/A","1.860E-05 g/L","6.96","855.708091007"
"PC(P-18:1(9Z)/24:1(15Z))","0.25 +/- 0.07","N/A","N/A","2.320E-05 g/L","6.99","853.692440943"
"PC(P-18:1(9Z)/P-16:0)","242.2 +/- 51.3","N/A","N/A","N/A","6.34","727.587976362"
"PC(P-18:1(9Z)/P-18:0)","19.8 (16.9-22.8)","N/A","N/A","N/A","6.65","755.619276491"
"PC(P-18:1(9Z)/P-18:1(11Z))","44.5 (37.6-53.3)","N/A","N/A","N/A","6.56","753.603626427"
"PC(P-18:1(9Z)/P-18:1(9Z))","44.5 (37.6-53.3)","N/A","N/A","N/A","6.56","753.603626427"
"MG(0:0/18:1(9Z)/0:0)","166 +/- 130","N/A","N/A","0.0017 g/L","6.25","356.292659768"
"MG(0:0/18:2(9Z,12Z)/0:0)","146 +/- 97","N/A","N/A","0.0024 g/L","5.55","354.277009704"
"MG(18:1(9Z)/0:0/0:0)","170 +/- 170","N/A","N/A","0.0015 g/L","6.32","356.292659768"
"MG(18:2(9Z,12Z)/0:0/0:0)","37.6 +/- 36","N/A","N/A","0.0026 g/L","5.56","354.277009704"
"MG(20:4(5Z,8Z,11Z,14Z)/0:0/0:0)","4.71 +/- 4.5","N/A","N/A","0.0012 g/L","5.66","378.277009704"
"Adenosine 2',3'-cyclic phosphate","0.026 +/- 0.00096","N/A","N/A","3.59 g/L","-2.51","329.052519653"
"Decanal","0.11 +/- 0.03","-5 °C","N/A","0.0077 g/L","4.44","156.151415262"
"Glycyrrhetinic acid","0.104 +/- 0.008","296 °C","N/A","0.0017 g/L","5.45","470.33960996"
"p-Cresol glucuronide","1.0 +/- 0.7","N/A","N/A","24 g/L","-0.45","284.089602866"
"SM(d16:1/24:1(15Z))","15.7 +/- 0.6","N/A","N/A","3.480E-05 g/L","6.08","784.645825592"
"SM(d17:1/24:0)","7 +/- 0.27","N/A","N/A","3.210E-05 g/L","6.19","800.677125721"
"SM(d17:1/24:1(15Z))","57.1 +/- 11.7","N/A","N/A","3.180E-05 g/L","6.19","798.661475656"
"SM(d18:1/24:0)","11.0-39.0","N/A","N/A","3.220E-05 g/L","6.30","814.692775785"
"SM(d18:1/26:0)","0.050-0.600","N/A","N/A","3.050E-05 g/L","6.54","842.724075914"
"SM(d19:1/24:1(15Z))","57.1 +/- 11.7","N/A","N/A","3.030E-05 g/L","6.42","826.692775785"
"Cer(d18:0/14:0)","0.088 +/- 0.0004","N/A","N/A","5.600E-05 g/L","9.10","511.496444951"
"Cer(d18:0/16:0)","0.261 +/- 0.0004","N/A","N/A","4.200E-05 g/L","9.44","539.527745079"
"Cer(d18:0/18:0)","0.146 +/- 0.002","N/A","N/A","3.660E-05 g/L","9.71","567.559045207"
"Cer(d18:0/18:1(11Z))","0.038  +/- 0.001","N/A","N/A","3.310E-05 g/L","9.79","565.543395143"
"Cer(d18:0/18:1(9Z))","0.038  +/- 0.001","N/A","N/A","3.300E-05 g/L","9.78","565.543395143"
"Cer(d18:0/20:0)","0.089  +/- 0.001","N/A","N/A","2.630E-05 g/L","9.94","595.590345335"
"Cer(d18:0/22:0)","0.685  +/- 0.003","N/A","N/A","2.330E-05 g/L","10.09","623.621645463"
"Cer(d18:0/24:0)","1.22 +/- 0.004","N/A","N/A","2.250E-05 g/L","10.25","651.652945591"
"Cer(d18:0/24:1(15Z))","0.552 +/- 0.003","N/A","N/A","2.340E-05 g/L","10.39","649.637295527"
"Cer(d18:0/26:0)","0.041 +/- 0.002","N/A","N/A","1.990E-05 g/L","10.35","679.684245719"
"Cer(d18:0/26:1(17Z))","0.031 +/- 0.001","N/A","N/A","2.110E-05 g/L","10.51","677.668595655"
"Cer(d18:1/14:0)","0.012 +/- 0.001","N/A","N/A","5.830E-05 g/L","N/A","509.480794887"
"Cer(d18:1/18:1(11Z))","0.022 +/- 0.001","N/A","N/A","2.490E-05 g/L","9.82","563.527745079"
"SM(d18:0/14:0)","1 +/- 0.01","N/A","N/A","4.050E-05 g/L","4.71","676.551924718"
"SM(d18:0/18:0)","4.11 +/- 0.08","N/A","N/A","3.140E-05 g/L","5.44","732.614524974"
"SM(d18:0/18:1(11Z))","11.0 +/- 2.56","N/A","N/A","3.250E-05 g/L","5.41","730.59887491"
"SM(d18:0/18:1(9Z))","11.0 +/- 2.56","N/A","N/A","3.250E-05 g/L","5.41","730.59887491"
"SM(d18:0/20:0)","2.78 +/- 0.03","N/A","N/A","2.580E-05 g/L","5.74","760.645825102"
"SM(d18:0/22:0)","3.32 +/- 0.1","N/A","N/A","2.650E-05 g/L","6.00","788.67712523"
"SM(d18:0/24:0)","22.0 +/- 4.73","N/A","N/A","2.580E-05 g/L","6.26","816.708425358"
"SM(d18:0/24:1(15Z))","57.1 +/- 11.7","N/A","N/A","2.750E-05 g/L","6.24","814.692775294"
"SM(d18:1/14:0)","9.17 +/- 0.18","N/A","N/A","3.820E-05 g/L","4.70","674.536274654"
"SM(d18:1/18:1(11Z))","10.8 +/- 0.2","N/A","N/A","3.220E-05 g/L","5.41","728.583224846"
"SM(d18:1/18:1(9Z))","4.00-19.5","N/A","N/A","3.230E-05 g/L","5.41","728.583224846"
"SM(d18:1/20:0)","9.98 +/- 0.24","N/A","N/A","2.860E-05 g/L","5.80","758.630175038"
"SM(d18:1/22:0)","9.98 +/- 0.24","N/A","N/A","2.620E-05 g/L","6.05","786.661475166"
"SM(d18:1/22:1(13Z))","15.7 +/- 0.6","N/A","N/A","2.780E-05 g/L","6.06","784.645825102"
"SM(d18:1/23:0)","7 +/- 0.27","N/A","N/A","2.780E-05 g/L","6.19","800.67712523"
"SM(d18:1/24:1(15Z))","30.00-100.0","N/A","N/A","2.730E-05 g/L","6.30","812.67712523"
"LysoPC(17:0/0:0)","2.55 +/- 1.08","N/A","N/A","2.890E-04 g/L","2.18","509.348139535"
"Linoleoyl ethanolamide","13.7 +/- 6.5","N/A","499.06 °C. @  760.00 mm Hg (est)","0.108 mg/L @ 25 °C (est)","6.003 (est)","323.282429433"
"Phenylethylamine","0.00-0.030","N/A","194.00 to  195.00 °C. @  760.00 mm Hg","6.325e+004 mg/L @ 25 °C (est)","1.410","121.089149357"
"Vanillin","5.298 +/- 0.902","81.5 °C","285.00 to  286.00 °C. @  760.00 mm Hg","11 mg/mL at 25 °C","1.21","152.047344122"
"Palmitelaidic acid","1.97 +/- 1.4","N/A","363.00 to  364.00 °C. @  760.00 mm Hg (est)","0.1334 mg/L @ 25 °C (est)","6.635 (est)","254.224580204"
"PS(14:0/18:1(9Z))","0.239 +/- 0.017","N/A","N/A","1.110E-04 g/L","4.30","733.48938452"
"PS(14:1(9Z)/18:0)","0.239 +/- 0.017","N/A","N/A","1.110E-04 g/L","4.29","733.489384041"
"PS(16:0/16:1(9Z))","0.239 +/- 0.017","N/A","N/A","1.110E-04 g/L","4.29","733.48938452"
"PS(16:0/18:0)","0.307 +/- 0.062","N/A","N/A","8.290E-05 g/L","4.66","763.536334714"
"PS(16:0/18:1(9Z))","0.186 +/- 0.029","N/A","N/A","8.500E-05 g/L","4.64","761.520684649"
"PS(16:0/18:2(9Z,12Z))","0.151 +/- 0.021","N/A","N/A","8.690E-05 g/L","4.63","759.505034105"
"PS(16:0/20:3(8Z,11Z,14Z))","0.123 +/- 0.020","N/A","N/A","7.700E-05 g/L","4.93","785.520684169"
"PS(16:0/20:4(5Z,8Z,11Z,14Z))","0.179 +/- 0.031","N/A","N/A","8.020E-05 g/L","4.88","783.505034105"
"PS(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","0.162 +/- 0.017","N/A","N/A","7.460E-05 g/L","5.01","807.505034105"
"PS(16:1(9Z)/16:0)","0.239 +/- 0.017","N/A","N/A","1.110E-04 g/L","4.29","733.48938452"
"PS(16:1(9Z)/18:0)","0.186 +/- 0.029","N/A","N/A","8.490E-05 g/L","4.64","761.520684649"
"PS(16:1(9Z)/18:1(9Z))","0.151 +/- 0.021","N/A","N/A","8.590E-05 g/L","4.62","759.505034585"
"PS(16:1(9Z)/20:3(8Z,11Z,14Z))","0.179 +/- 0.031","N/A","N/A","8.330E-05 g/L","4.80","783.505034105"
"PS(18:0/14:1(9Z))","0.239 +/- 0.017","N/A","N/A","1.100E-04 g/L","4.30","733.489384041"
"PS(18:0/16:0)","0.307 +/- 0.062","N/A","N/A","8.290E-05 g/L","4.66","763.536334714"
"PS(18:0/16:1(9Z))","0.186 +/- 0.029","N/A","N/A","8.480E-05 g/L","4.64","761.520684649"
"PS(18:0/18:0)","2.090 +/- 0.190","N/A","N/A","6.740E-05 g/L","4.95","791.567634842"
"PS(18:0/18:2(9Z,12Z))","0.316 +/- 0.065","N/A","N/A","7.200E-05 g/L","4.97","787.536334233"
"PS(18:0/18:3(9Z,12Z,15Z))","0.123 +/- 0.020","N/A","N/A","7.600E-05 g/L","4.93","785.520684169"
"PS(18:0/20:3(8Z,11Z,14Z))","0.194 +/- 0.043","N/A","N/A","6.180E-05 g/L","5.23","813.551984297"
"PS(18:0/20:4(5Z,8Z,11Z,14Z))","0.481 +/- 0.083","N/A","N/A","6.680E-05 g/L","5.20","811.536334233"
"PS(18:1(9Z)/14:0)","0.239 +/- 0.017","N/A","N/A","1.110E-04 g/L","4.30","733.48938452"
"PS(18:1(9Z)/16:0)","0.186 +/- 0.029","N/A","N/A","8.490E-05 g/L","4.64","761.520684649"
"PS(18:1(9Z)/16:1(9Z))","0.151 +/- 0.021","N/A","N/A","8.580E-05 g/L","4.62","759.505034585"
"PS(18:1(9Z)/18:0)","0.733 +/- 0.149","N/A","N/A","7.120E-05 g/L","4.95","789.551984778"
"PS(18:1(9Z)/18:1(9Z))","0.316 +/- 0.065","N/A","N/A","7.120E-05 g/L","4.96","787.536334714"
"PS(18:1(9Z)/18:2(9Z,12Z))","0.123 +/- 0.020","N/A","N/A","7.740E-05 g/L","4.91","785.520684169"
"PS(18:1(9Z)/18:3(9Z,12Z,15Z))","0.179 +/- 0.031","N/A","N/A","8.290E-05 g/L","4.80","783.505034105"
"PS(18:1(9Z)/20:3(8Z,11Z,14Z))","0.481 +/- 0.083","N/A","N/A","6.760E-05 g/L","5.11","811.536334233"
"PS(18:1(9Z)/20:4(5Z,8Z,11Z,14Z))","0.281 +/- 0.054","N/A","N/A","6.910E-05 g/L","5.07","809.520684169"
"PS(18:1(9Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","0.169 +/- 0.028","N/A","N/A","6.720E-05 g/L","5.13","833.520684169"
"PS(18:2(9Z,12Z)/16:0)","0.151 +/- 0.021","N/A","N/A","8.700E-05 g/L","4.63","759.505034105"
"PS(18:2(9Z,12Z)/18:0)","0.316 +/- 0.065","N/A","N/A","7.200E-05 g/L","4.96","787.536334233"
"PS(18:2(9Z,12Z)/18:1(9Z))","0.123 +/- 0.020","N/A","N/A","7.750E-05 g/L","4.91","785.520684169"
"PS(18:2(9Z,12Z)/18:2(9Z,12Z))","0.179 +/- 0.031","N/A","N/A","8.430E-05 g/L","4.79","783.505034105"
"PS(18:2(9Z,12Z)/20:3(8Z,11Z,14Z))","0.281 +/- 0.054","N/A","N/A","7.060E-05 g/L","5.00","809.520684169"
"PS(18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z))","0.162 +/- 0.017","N/A","N/A","7.780E-05 g/L","4.94","807.505034105"
"PS(18:3(9Z,12Z,15Z)/18:0)","0.123 +/- 0.020","N/A","N/A","7.640E-05 g/L","4.93","785.520684169"
"PS(18:3(9Z,12Z,15Z)/18:1(9Z))","0.179 +/- 0.031","N/A","N/A","8.290E-05 g/L","4.80","783.505034105"
"PS(18:3(9Z,12Z,15Z)/20:3(8Z,11Z,14Z))","0.162 +/- 0.017","N/A","N/A","7.920E-05 g/L","4.89","807.505034105"
"PS(20:3(8Z,11Z,14Z)/16:0)","0.123 +/- 0.020","N/A","N/A","7.700E-05 g/L","4.93","785.520684169"
"PS(20:3(8Z,11Z,14Z)/16:1(9Z))","0.179 +/- 0.031","N/A","N/A","8.330E-05 g/L","4.80","783.505034105"
"PS(20:3(8Z,11Z,14Z)/18:0)","0.194 +/- 0.043","N/A","N/A","6.180E-05 g/L","5.23","813.551984297"
"PS(20:3(8Z,11Z,14Z)/18:1(9Z))","0.481 +/- 0.083","N/A","N/A","6.760E-05 g/L","5.11","811.536334233"
"PS(20:3(8Z,11Z,14Z)/18:2(9Z,12Z))","0.281 +/- 0.054","N/A","N/A","7.060E-05 g/L","5.00","809.520684169"
"PS(20:3(8Z,11Z,14Z)/18:3(9Z,12Z,15Z))","0.162 +/- 0.017","N/A","N/A","7.920E-05 g/L","4.89","807.505034105"
"PS(20:3(8Z,11Z,14Z)/20:3(8Z,11Z,14Z))","0.637 +/- 0.109","N/A","N/A","6.590E-05 g/L","5.17","835.536334233"
"PS(20:3(8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z))","0.169 +/- 0.028","N/A","N/A","7.020E-05 g/L","5.09","833.520684169"
"PS(20:4(5Z,8Z,11Z,14Z)/16:0)","0.179 +/- 0.031","N/A","N/A","7.990E-05 g/L","4.87","783.505034105"
"PS(20:4(5Z,8Z,11Z,14Z)/18:0)","0.481 +/- 0.083","N/A","N/A","6.670E-05 g/L","5.19","811.536334233"
"PS(20:4(5Z,8Z,11Z,14Z)/18:1(9Z))","0.281 +/- 0.054","N/A","N/A","6.920E-05 g/L","5.06","809.520684169"
"PS(20:4(5Z,8Z,11Z,14Z)/18:2(9Z,12Z))","0.162 +/- 0.017","N/A","N/A","7.790E-05 g/L","4.93","807.505034105"
"PS(20:4(5Z,8Z,11Z,14Z)/20:3(8Z,11Z,14Z))","0.169 +/- 0.028","N/A","N/A","7.020E-05 g/L","5.08","833.520684169"
"PS(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/16:0)","0.162 +/- 0.017","N/A","N/A","7.490E-05 g/L","5.00","807.505034105"
"PS(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:0)","0.637 +/- 0.109","N/A","N/A","6.270E-05 g/L","5.28","835.536334233"
"PS(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:1(9Z))","0.169 +/- 0.028","N/A","N/A","6.740E-05 g/L","5.13","833.520684169"
"3beta,7alpha-Dihydroxy-5-cholestenoate","<0.1","N/A","N/A","0.0069 g/L","3.92","432.323959897"
"12S-HHT","0.00203 +/- 0.000278","N/A","N/A","0.015 g/L","4.99","280.203844762"
"17-HETE","0.000113 +/- 0.000021","N/A","N/A","0.0021 g/L","5.79","320.23514489"
"18R-HEPE","0.000138 +/- 0.000024","N/A","N/A","0.0025 g/L","5.60","318.219494826"
"Stearoylethanolamide","15 +/- 11","98.5 °C","486.03 °C. @  760.00 mm Hg (est)","0.04389 mg/L @ 25 °C (est)","6.815 (est)","327.313729561"
"LysoPC(P-18:0/0:0)","0.067 (0 - 0.134)","N/A","N/A","2.280E-04 g/L","2.99","507.368874977"
"Propenoylcarnitine","0.040-0.140","N/A","N/A","0.059 g/L","-2.22","215.115758037"
"Hydroxypropionylcarnitine","0.020-0.100","N/A","N/A","1.06 g/L","-2.43","233.126322723"
"Butenylcarnitine","0.010-0.080","N/A","N/A","0.051 g/L","-2.08","229.131408101"
"3-Hydroxybutyrylcarnitine","0.11 +/- 0.01","N/A","N/A","1.1 g/L","-2.29","247.14197278"
"Valerylcarnitine","<0.400","N/A","N/A","0.016 g/L","-1.90","246.169984677"
"Glutaconylcarnitine","0.02","N/A","N/A","0.13 g/L","-1.71","273.121237345"
"Glutarylcarnitine","0.015-0.040","N/A","N/A","0.13 g/L","-2.00","276.144163853"
"Hydroxyvalerylcarnitine","0.020-0.100","N/A","N/A","2.28 g/L","N/A","263.173272915"
"Methylmalonylcarnitine","<0.110","N/A","N/A","0.27 g/L","-1.62","262.128513788"
"2-Hexenoylcarnitine","0.010-0.035","N/A","N/A","0.0046 g/L","-1.71","257.162708229"
"4-O-Methylgallic acid","0.04 +/- 0.014","N/A","N/A","4.93 g/L","1.32","184.037173366"
"9-Decenoylcarnitine","0.17 +/- 0.04","N/A","N/A","1.610E-04 g/L","-0.97","313.225308485"
"9-Hexadecenoylcarnitine","0.03 +/- 0.01","N/A","N/A","9.890E-06 g/L","1.03","397.319208869"
"Beta-Guanidinopropionic acid","<0.0252","N/A","299.10 °C. @  760.00 mm Hg (est)","1e+006 mg/L @ 25 °C (est)","-1.680 (est)","131.069476547"
"Ethylamine","0.57 +/- 0.13","-81.2 °C","16.00 to   17.00 °C. @  760.00 mm Hg","1e+006 mg/L @ 25 °C (est)","-0.13","45.057849229"
"Nonanoylcarnitine","0.03 +/- 0.01","N/A","N/A","3.280E-04 g/L","-1.03","301.225308485"
"2-Octenoylcarnitine","0.2 +/- 0.15","N/A","N/A","5.510E-04 g/L","-1.25","285.194008353"
"trans-2-Dodecenoylcarnitine","0.10-0.40","N/A","N/A","3.350E-05 g/L","0.16","341.256608611"
"Dodecanedioylcarnitine","0.19 (0.18-0.21)","N/A","N/A","0.0016 g/L","0.23","373.246437857"
"Pimelylcarnitine","0.035-0.120","N/A","N/A","0.02 g/L","-1.60","303.168187529"
"3-Hydroxy-cis-5-tetradecenoylcarnitine","0.015-0.030","N/A","N/A","4.400E-04 g/L","-0.82","385.28282336"
"3, 5-Tetradecadiencarnitine","0.012-0.080","N/A","N/A","2.620E-05 g/L","0.19","367.272258675"
"3-Hydroxy-9-hexadecenoylcarnitine","0.000-0.020","N/A","N/A","1.130E-04 g/L","-0.17","413.314123489"
"9,12-Hexadecadienoylcarnitine","0.01","N/A","N/A","1.550E-05 g/L","0.76","396.310835257"
"3-Hydroxyhexadecadienoylcarnitine","0.000-0.030","N/A","N/A","2.790E-04 g/L","-0.28","411.298473424"
"3-Hydroxyhexadecanoylcarnitine","0.0050-0.0200","N/A","N/A","8.890E-05 g/L","0.35","415.329773553"
"3-Hydroxy-11Z-octadecenoylcarnitine","0.000-0.023","N/A","N/A","3.600E-05 g/L","0.41","441.345423617"
"PC(O-14:0/16:0)","0.20-0.90","N/A","N/A","2.860E-05 g/L","5.29","691.551590367"
"PC(O-14:0/16:1(9Z))","0.020-0.500","N/A","N/A","2.900E-05 g/L","5.21","689.535940303"
"PC(O-16:0/16:1(9Z))","1.2-5.5","N/A","N/A","2.630E-05 g/L","5.58","717.567240431"
"PC(O-16:0/18:0)","0.60-4.20","N/A","N/A","2.060E-05 g/L","5.96","747.614190623"
"PC(O-16:0/20:0)","0.38-6.00","N/A","N/A","1.970E-05 g/L","6.25","775.645490751"
"PC(O-16:0/20:4(8Z,11Z,14Z,17Z))","7.30-33.0","N/A","N/A","3.040E-05 g/L","6.06","767.582890495"
"PC(O-16:0/22:0)","0.90-9.00","N/A","N/A","1.900E-05 g/L","6.48","803.676790879"
"PC(O-16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","3.30-22.0","N/A","N/A","3.710E-05 g/L","6.29","791.582890495"
"PC(O-16:1(9Z)/14:1(9Z))","0.050-0.570","N/A","N/A","3.200E-05 g/L","5.09","687.520290239"
"PC(O-16:1(9Z)/16:1(9Z))","0.54 (0.44-0.68)","N/A","N/A","2.800E-05 g/L","5.50","715.551590367"
"PC(O-16:1(9Z)/18:0)","8.24 (7.04-9.88)","N/A","N/A","1.680E-05 g/L","5.92","745.598540559"
"PC(O-16:1(9Z)/18:2(9Z,12Z))","5.44 (4.33-6.82)","N/A","N/A","2.700E-05 g/L","N/A","741.567240431"
"PC(O-16:1(9Z)/20:0)","5.39 (4.33-6.84)","N/A","N/A","2.040E-05 g/L","6.21","773.629840687"
"PC(O-16:1(9Z)/20:4(8Z,11Z,14Z,17Z))","7.98 (6.32-9.9)","N/A","N/A","3.510E-05 g/L","5.97","765.567240431"
"PC(O-16:1(9Z)/22:0)","0.50-5.50","N/A","N/A","2.010E-05 g/L","6.45","801.661140815"
"PC(O-18:0/18:0)","0.73 (0.59-0.88)","N/A","N/A","1.970E-05 g/L","6.25","775.645490751"
"PC(O-18:0/18:2(9Z,12Z))","10.3 (8.09-12.5)","N/A","N/A","2.070E-05 g/L","6.18","771.614190623"
"PC(O-18:0/20:0)","1.23 (1-1.45)","N/A","N/A","1.900E-05 g/L","6.47","803.676790879"
"PC(O-18:0/20:4(8Z,11Z,14Z,17Z))","9.69 (7.87-11.9)","N/A","N/A","2.780E-05 g/L","6.39","795.614190623"
"PC(O-18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","3.07 (2.53-3.68)","N/A","N/A","3.610E-05 g/L","6.64","819.614190623"
"PC(O-18:0/24:0)","0.56 (0.48-0.67)","N/A","N/A","1.730E-05 g/L","6.90","859.739391135"
"PC(O-18:1(11Z)/16:0)","8.24 (7.04-9.88)","N/A","N/A","1.690E-05 g/L","5.91","745.598540559"
"PC(O-18:1(11Z)/18:2(9Z,12Z))","5.43 (4.50-6.33)","N/A","N/A","2.370E-05 g/L","6.05","769.598540559"
"PC(O-18:1(9Z)/16:0)","10.26 +/- 3.20","N/A","N/A","1.680E-05 g/L","5.91","745.598540559"
"PC(O-18:1(9Z)/18:0)","5.39 (4.33-6.84)","N/A","N/A","2.040E-05 g/L","6.20","773.629840687"
"PC(O-18:1(9Z)/18:1(11Z))","13.63 +/- 3.69","N/A","N/A","2.080E-05 g/L","6.14","771.614190623"
"PC(O-18:1(9Z)/18:2(9Z,12Z))","8.51 +/- 2.52","N/A","N/A","2.370E-05 g/L","6.05","769.598540559"
"PC(O-18:1(9Z)/20:0)","0.80 +/- 0.38","N/A","N/A","2.030E-05 g/L","6.44","801.661140815"
"PC(O-18:1(9Z)/20:1(11Z))","1.96 +/- 0.51","N/A","N/A","2.170E-05 g/L","6.43","799.645490751"
"PC(O-18:1(9Z)/20:4(8Z,11Z,14Z,17Z))","14.4 (12.6-17)","N/A","N/A","3.370E-05 g/L","6.30","793.598540559"
