"Name","Abundance in Blood (uM)","Melting Point (°C)","Boiling Point (°C)","Solubility (mg/mL)","LogP","Monoisotopic Molecular Weight (Da)"
"CE(20:4(5Z,8Z,11Z,14Z))","237 +/- 13","N/A","N/A","6.460E-06 g/L","10.27","672.584531687"
"CE(22:0)","1.08 +/- 0.48","N/A","N/A","7.890E-06 g/L","11.10","708.67843206"
"CE(20:5(5Z,8Z,11Z,14Z,17Z))","39.07 +/- 11.07","N/A","N/A","7.270E-06 g/L","10.03","670.568881612"
"CE(22:6(4Z,7Z,10Z,13Z,16Z,19Z))","21.93 +/- 6.64","N/A","N/A","7.850E-06 g/L","10.03","696.584531676"
"CE(20:2(6Z,9Z))","4.28 +/- 4.02","N/A","N/A","5.990E-06 g/L","10.71","676.615831804"
"CE(20:3(8Z,11Z,14Z))","18.71 +/- 5.94","N/A","N/A","5.570E-06 g/L","10.52","674.60018174"
"CE(22:2(13Z,16Z))","0.53 (0-1.06)","N/A","N/A","5.900E-06 g/L","10.94","704.647131932"
"CE(20:0)","32 +/- 1","85 °C","N/A","7.550E-06 g/L","10.96","680.647131932"
"3a-Hydroxy-5b-pregnane-20-one","0.00016 +/- 0.00018","N/A","N/A","0.0014 g/L","4.28","318.255880332"
"4,4-Dimethyl-5a-cholesta-8-en-3b-ol","<0.000121","N/A","N/A","1.530E-04 g/L","7.16","414.386166222"
"5alpha-Cholest-8-en-3beta-ol","<0.000129","N/A","N/A","2.220E-04 g/L","6.59","386.354866094"
"9(S)-HPODE","0.00514 +/- 0.0038","N/A","N/A","0.0037 g/L","5.74","312.230059512"
